% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=811070, Wed Mar  6 10:13:56 2024, <python>{}</python>
1 14 0.009358556969345575 1.0000483882674487 -29.0 -2.9000000000000000e+01 -9.0 -8.0   
2 28 0.009057424393108924 1.0649272876252123 -29.0 -1.0000000000000000e+01 -10.0 -8.0   
3 42 0.008833829807031828 1.091877716437235 -29.0 -1.8000000000000000e+01 -10.0 -8.0   
4 56 0.008720736767989179 1.1049952042741968 -29.0 -1.1000000000000000e+01 -10.0 -8.0   
5 70 0.00856549966129536 1.1325144145799309 -29.0 -1.1000000000000000e+01 -10.0 -8.0   
6 84 0.008588615167837935 1.1521942477293314 -29.0 -1.0000000000000000e+01 -9.0 -8.0   
7 98 0.008515679858408471 1.1581388239505055 -29.0 -1.1000000000000000e+01 -10.0 -8.0   
8 112 0.008493616041347107 1.1823605444871674 -29.0 -1.1000000000000000e+01 -9.0 -8.0   
9 126 0.008775656914971711 1.1976514635960618 -29.0 -1.5000000000000000e+01 -10.0 -9.0   
10 140 0.009129043578638144 1.2225571489073368 -29.0 -1.0000000000000000e+01 -9.0 -9.0   
11 154 0.00925784665951484 1.256309446760816 -38.0 -3.8000000000000000e+01 -10.0 -8.0   
12 168 0.009392872713582393 1.2956361522211823 -38.0 -1.0000000000000000e+01 -10.0 -9.0   
13 182 0.009485088595562897 1.3265461890931831 -215.0 -2.1500000000000000e+02 -9.0 -8.0   
14 196 0.009563605064178837 1.3498733167634105 -215.0 -2.0000000000000000e+01 -9.0 -8.0   
15 210 0.009538237146543664 1.3634200017584852 -215.0 -2.0000000000000000e+01 -10.0 -8.0   
16 224 0.00956544917517436 1.378979999404792 -215.0 -1.1000000000000000e+01 -9.0 -8.0   
17 238 0.009490249698649962 1.3844509381186259 -215.0 -1.0000000000000000e+01 -9.0 -8.0   
18 252 0.009458716610295754 1.3868920400080855 -215.0 -2.1000000000000000e+01 -10.0 -8.0   
19 266 0.009445130560479485 1.3879548123114913 -215.0 -1.1000000000000000e+01 -10.0 -9.0   
20 280 0.009586367168053726 1.3984365249320634 -215.0 -1.5000000000000000e+01 -10.0 -8.0   
21 294 0.00964960773457387 1.3992502137395393 -215.0 -2.8000000000000000e+01 -9.0 -8.0   
22 308 0.00963380111595749 1.4073447587457335 -215.0 -7.4000000000000000e+01 -10.0 -8.0   
23 322 0.009704713768988725 1.4096482869086855 -215.0 -7.9000000000000000e+01 -9.0 -8.0   
24 336 0.009776971922215376 1.4210435779361514 -215.0 -3.9000000000000000e+01 -9.0 -8.0   
25 350 0.00977649215674928 1.4291431259419605 -215.0 -3.6000000000000000e+01 -9.0 -8.0   
26 364 0.010061481410523173 1.4553041193027048 -1000.0 -1.0000000000000000e+03 -10.0 -9.0   
